Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownstreamLength,TotalReach,LocationDetailBAComments,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near Clearlake (City),513LAK004,8/4/2011,9:00:00,OpenWater,0.1,m,Grab,1,1,UCSC_110816ANA_W_CYTOX,110804S3,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,0.43,,0.25,0.25,=,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.963711,-122.6520004,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,8/4/2011 9:00,None,1/1/1950,8/16/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3.8,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110804S3
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin River at Potato Point,544SJC010,8/18/2011,8:30:00,Midchannel,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110818D26,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.076641,-121.5669022,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,8/18/2011 8:30,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,15.88,m,,,,,,,,,San Joaquin,77,Central Valley,5,,,,,,,,110818D26
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin River at Twitchell Island,544SAC004,8/18/2011,7:30:00,Midchannel,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110818D16,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.096901,-121.6690979,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,8/18/2011 7:30,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,11.64,m,,,,,,,,,Sacramento,67,Central Valley,5,,,,,,,,110818D16
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Old River at Rancho del Rio,544CCC004,8/19/2011,10:25:00,Midchannel,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110819D28A,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,37.970482,-121.572998,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,8/19/2011 10:25,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,4.91,m,,,,,,,,,Contra Costa,13,Central Valley,5,,,,,,,,110819D28A
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin in Antioch Ship Channel,544CCC001,8/19/2011,7:30:00,Midchannel,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110819D12,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,Field blanks collected at this station,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.02161,-121.8062973,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,8/19/2011 7:30,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,11.49,m,,,,,,,,,Contra Costa,13,Central Valley,5,,,,,,,,110819D12
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Old River at Frank’s Tract (SJR -flooded island),544CCC003,8/19/2011,8:10:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110819D19*,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.043758,-121.6147995,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,8/19/2011 8:10,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3.11,m,,,,,,,,,,,,,,,,,,,,110819D19*
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Lower Arm,513LAK005,9/8/2011,10:10:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908CL3,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.96463,-122.6816635,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 10:10,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,10,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908CL3
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Upper Arm,513LAK002,9/8/2011,15:45:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908CL1,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.064571,-122.8661575,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 15:45,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,7.5,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908CL1
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Oaks Arm,513LAK007,9/8/2011,13:30:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908CL4,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.012379,-122.7018433,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 13:30,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,13,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908CL4
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near The Keys,513LAK006,9/8/2011,11:25:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908S4*,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.013802,-122.6669083,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 11:25,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3.5,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908S4*
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Horseshoe Bend,513LAK003,9/8/2011,14:25:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908S2,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,Field blanks collected at this station,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.006699,-122.7623215,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 14:25,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,7.5,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908S2
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near Clearlake (City),513LAK004,9/8/2011,8:40:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908S3,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.963711,-122.6520004,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 8:40,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908S3
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near Lakeport,513LAK001,9/8/2011,16:34:00,OpenWater,0.1,m,Grab,1,1,UCSC_110915ANA_W_CYTOX,110908S1,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.02919,-122.8519211,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/8/2011 16:34,None,1/1/1950,9/15/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,110908S1
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin River at Potato Point,544SJC010,9/19/2011,10:45:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,110919D26,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,VH,VAC,Qual,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.076641,-121.5669022,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/19/2011 10:45,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,11.74,m,,,,,,,,,San Joaquin,77,Central Valley,5,,,,,,,,110919D26
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin River at Twitchell Island,544SAC004,9/19/2011,10:45:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,110919D16,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,VH,VAC,Qual,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.096901,-121.6690979,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/19/2011 10:45,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,16.52,m,,,,,,,,,Sacramento,67,Central Valley,5,,,,,,,,110919D16
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Old River at Frank’s Tract (SJR -flooded island),544CCC003,9/20/2011,12:05:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,110920D19*,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,VH,VAC,Qual,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.043758,-121.6147995,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/20/2011 12:05,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,2.65,m,,,,,,,,,,,,,,,,,,,,110920D19*
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Old River at Rancho del Rio,544CCC004,9/20/2011,13:00:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,110920D28A,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,VH,VAC,Qual,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,37.970482,-121.572998,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/20/2011 13:00,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,6.49,m,,,,,,,,,Contra Costa,13,Central Valley,5,,,,,,,,110920D28A
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin in Antioch Ship Channel,544CCC001,9/20/2011,10:50:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,110920D12,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,VH,VAC,Qual,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.02161,-121.8062973,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,9/20/2011 10:50,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,11.64,m,,,,,,,,,Contra Costa,13,Central Valley,5,,,,,,,,110920D12
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Lower Arm,513LAK005,10/6/2011,10:39:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006CL3,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.96463,-122.6816635,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 10:39,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,9.9,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006CL3
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Oaks Arm,513LAK007,10/6/2011,13:05:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006CL4,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.012379,-122.7018433,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 13:05,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,12.9,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006CL4
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Upper Arm,513LAK002,10/6/2011,15:00:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006CL1,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.064571,-122.8661575,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 15:00,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,7.3,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006CL1
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near Clearlake (City),513LAK004,10/6/2011,8:56:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006S3,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.963711,-122.6520004,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 8:56,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3.2,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006S3
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near Lakeport,513LAK001,10/6/2011,15:45:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006S1*,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.02919,-122.8519211,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 15:45,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,2.4,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006S1*
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake near The Keys,513LAK006,10/6/2011,11:50:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006S4,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.013802,-122.6669083,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 11:50,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,3.5,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006S4
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Clear Lake at Horseshoe Bend,513LAK003,10/6/2011,13:50:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111006S2,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples collected using Lake County boat,Field blanks,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,39.006699,-122.7623215,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/6/2011 13:50,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,7.3,m,,,,,,,,,Lake,33,Central Valley,5,,,,,,,,111006S2
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Old River at Frank’s Tract (SJR -flooded island),544CCC003,10/17/2011,10:35:00,OpenWater,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111017D19,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.043758,-121.6147995,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/17/2011 10:35,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,2.62,m,,,,,,,,,,,,,,,,,,,,111017D19
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,Old River at Rancho del Rio,544CCC004,10/17/2011,11:30:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111017D28A,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,37.970482,-121.572998,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/17/2011 11:30,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,4.24,m,,,,,,,,,Contra Costa,13,Central Valley,5,,,,,,,,111017D28A
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin in Antioch Ship Channel,544CCC001,10/17/2011,9:10:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111017D12,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.02161,-121.8062973,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/17/2011 9:10,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,10.61,m,,,,,,,,,Contra Costa,13,Central Valley,5,,,,,,,,111017D12
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin River at Potato Point,544SJC010,10/18/2011,11:00:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111018D26*,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.076641,-121.5669022,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/18/2011 11:00,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,11.92,m,,,,,,,,,San Joaquin,77,Central Valley,5,,,,,,,,111018D26*
Surface Water Ambient Monitoring Program,SWAMP RWB5 Monitoring,RWB5 Clear Lake and Delta Cyanobacteria FY1112,San Joaquin River at Twitchell Island,544SAC004,10/18/2011,10:00:00,Midchannel,0.1,m,Grab,1,1,UCSC_111024ANA_W_CYTOX,111018D16,samplewater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,,,0.25,0.25,ND,None,VAC,Com,samples also collected by RV/San Carlos EMP/DWR,Field blanks collected at this station,,QAO: verified against method criteria,WQ,UCSCCM_002,UCSC-IMS,,Water_Grab,38.096901,-121.6690979,Individual Collection by hand,0000-00-00,Subsurface,FieldFrozen,10/18/2011 10:00,None,1/1/1950,10/24/2011,1,,UCSC-IMS,UCSC-IMS,A,RV,,,m,,m,12.5,m,,,,,,,,,Sacramento,67,Central Valley,5,,,,,,,,111018D16
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Coastal Confluences,CCAMP Coastal Confluences 2015 CWQ4,Pajaro River at Thurwachter Bridge,305THU,10/15/2015,13:00:00,Midchannel,0.1,m,Grab,1,1,WPCL_L-664-15_W_Ana,L-664-15-1,samplewater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,,,0.5,1,ND,"VQCA,VQCP","VAC,VQI",Qual,,50 mL filtered,,"QA/DM: not analyzed under MQOs.Incomplete QC of matrix accuracy,precision.Missing MS, MSD.  ",WQ,CCAMP_Field_2014,RWQCB3,,Water_Grab,36.879776,-121.7919464,Individual Collection by bucket sampler,0000-00-00,,"LabFiltered, LabFrozen",10/16/2015 0:00,None,1/1/1950,11/3/2015,1,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,Santa Cruz,87,Central Coast,3,,,,,,,,
Surface Water Ambient Monitoring Program,RWB8 Depressional Wetlands Study,RWB8 Depressional Wetlands 2016 and 2017,Lost Lake Depressional Wetland Site 0001,801LL0001,6/13/2016,9:45:00,X,2,cm,Integrated,1,1,UCSC-IMS_42550,801LL0001,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:No QC samples, failed MQOs",BA,SWAMP_2014_DW,CSULB-SEAL,,Sediment_Grab,34.272968,-117.4652252,Not Recorded,0000-00-00,Not Applicable,FieldFrozen,6/29/2016 0:00,"Kudela, 2011",6/29/2016,6/29/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Bernardino,71,Santa Ana Region,8,,,,,Lower Cajon Wash,1.80702E+11,Lost Lake,801LL0001
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Sweetwater River Upstream,909SWCYNU,7/27/2016,13:30:00,AA1,-88,m,Grab,1,1,WPCL_L-445-16_BS175-16_W_ELISA,L-445-16-11,samplewater,ELISA Abraxis 520060,"Anatoxin-A, Total",ug/L,0.4,,0.111,0.1665,=,D,"VAC,VQI",Scr,,,,"Samples buffered improperly and low bias results for L-445-16-10 and L-445-16-15.  Dilution.QA/DM: inadequate QC, screening.",WQ,SD_Cyano_QAPP_2013,RWQCB9,,Water_Grab,32.650471,-117.0639267,Not Recorded,0000-00-00,Not Applicable,FieldFrozen,7/27/2016 0:00,ELISA Abraxis 520060,7/29/2016,8/3/2016,1.11,,DFW-WPCL,DFW-WPCL,"A,MD",,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Rice Canyon-Sweetwater River,1.80703E+11,,
